recording,file,roi,time_s,in_analysis_window,dff,kept,exclusion_reason
blue 1,blue1.csv,2,91.785,True,0.07652142470545137,False,stim_window
blue 1,blue1.csv,2,136.786,True,0.07589630496268138,False,stim_window
blue 1,blue1.csv,2,185.282,True,0.09529762838515762,False,stim_window
blue 2,blue2.csv,2,41.278,True,0.10859487985591,False,stim_window
blue 2,blue2.csv,2,88.787,True,0.11989794877975565,False,stim_window
blue 2,blue2.csv,2,141.287,True,0.11917584999776654,False,stim_window
blue 2,blue2.csv,2,185.787,True,0.10842823591667412,False,stim_window
blue 3,blue3.csv,2,38.276,True,0.13680111664530703,False,stim_window
blue 3,blue3.csv,2,88.276,True,0.14709813289644033,False,stim_window
blue 3,blue3.csv,2,137.777,True,0.16268635889541935,False,stim_window
blue 3,blue3.csv,2,189.788,True,0.1452354243916356,False,stim_window
red 1,red1.csv,2,32.777,True,0.0569717378614304,False,stim_window
blue 1,blue1.csv,3,39.277,True,0.44030802402217334,False,stim_window
blue 1,blue1.csv,3,87.278,True,0.4783174272445992,False,stim_window
blue 1,blue1.csv,3,140.777,True,0.46764637212015525,False,stim_window
blue 1,blue1.csv,3,190.277,True,0.5066634954626497,False,stim_window
blue 2,blue2.csv,3,41.278,True,0.5307093589732509,False,stim_window
blue 2,blue2.csv,3,89.278,True,0.5320459154248394,False,stim_window
blue 2,blue2.csv,3,140.278,True,0.5352047217863337,False,stim_window
blue 2,blue2.csv,3,190.278,True,0.5180646375389317,False,stim_window
blue 3,blue3.csv,3,36.277,True,0.518740165169965,False,stim_window
blue 3,blue3.csv,3,91.278,True,0.5333578915090111,False,stim_window
blue 3,blue3.csv,3,135.779,True,0.5023823517589958,False,stim_window
blue 3,blue3.csv,3,140.778,True,0.5287196690451377,False,stim_window
blue 3,blue3.csv,3,189.277,True,0.5503255144573551,False,stim_window
red 1,red1.csv,3,35.277,True,0.10035754102254069,False,stim_window
red 1,red1.csv,3,88.278,True,0.086285405114338,False,stim_window
red 1,red1.csv,3,140.777,True,0.09741346165881411,False,stim_window
red 1,red1.csv,3,185.775,True,0.07320164900257442,False,stim_window
red 2,red2.csv,3,38.277,True,0.08245725487994317,False,stim_window
red 2,red2.csv,3,88.276,True,0.08256266059739349,False,stim_window
red 2,red2.csv,3,131.778,True,0.08823179590213612,False,stim_window
red 2,red2.csv,3,186.278,True,0.07521787829158293,False,stim_window
red 3,red3.csv,3,31.778,True,0.07614762906145986,False,stim_window
red 3,red3.csv,3,83.777,True,0.07230657447849416,False,stim_window
red 3,red3.csv,3,132.777,True,0.08429715572808527,False,stim_window
red 3,red3.csv,3,184.777,True,0.07393394243186563,False,stim_window
