Repeat,VAR2,Point,CH2 Voltage,CH2 Current,CH2 Time
1,1,1,-168.49000E-003,22.00000E-009,15.96300E-003
1,1,2,-138.33000E-003,28.00000E-009,33.78800E-003
1,1,3,-750.00000E-006,34.00000E-009,51.42100E-003
1,1,4,251.48000E-003,38.00000E-009,69.09000E-003
1,1,5,622.14000E-003,43.00000E-009,87.87200E-003
1,1,6,1.09715E+000,49.00000E-009,105.51100E-003
1,1,7,1.68243E+000,57.00000E-009,123.16600E-003
1,1,8,2.35523E+000,122.00000E-009,140.78100E-003
1,1,9,2.97704E+000,357.00000E-009,158.42700E-003
1,1,10,3.35979E+000,686.00000E-009,176.08600E-003
1,1,11,3.52885E+000,904.00000E-009,193.70200E-003
1,1,12,3.61645E+000,1.03900E-006,211.68100E-003
1,1,13,3.68192E+000,1.14600E-006,229.68200E-003
1,1,14,3.74094E+000,1.25400E-006,247.32800E-003
1,1,15,3.79206E+000,1.35500E-006,264.98200E-003
1,1,16,3.84267E+000,1.46200E-006,282.60300E-003
1,1,17,3.88795E+000,1.55900E-006,300.26900E-003
1,1,18,3.93210E+000,1.66300E-006,317.91400E-003
1,1,19,3.97572E+000,1.76600E-006,335.57700E-003
1,1,20,4.01290E+000,1.86800E-006,353.22800E-003
1,1,21,4.04987E+000,1.96700E-006,370.87500E-003
1,1,22,4.08726E+000,2.07100E-006,388.48400E-003
1,1,23,4.12257E+000,2.17100E-006,406.13600E-003
1,1,24,4.15674E+000,2.26800E-006,423.78200E-003
1,1,25,4.19064E+000,2.37400E-006,443.24800E-003
1,1,26,4.22203E+000,2.47700E-006,460.87900E-003
1,1,27,4.25096E+000,2.57500E-006,478.53000E-003
1,1,28,4.28129E+000,2.67500E-006,497.24900E-003
1,1,29,4.30916E+000,2.77500E-006,514.88300E-003
1,1,30,4.33711E+000,2.88100E-006,532.88400E-003
1,1,31,4.36533E+000,2.97900E-006,559.47000E-003
1,1,32,4.39127E+000,3.07800E-006,577.12600E-003
1,1,33,4.41657E+000,3.17800E-006,596.50600E-003
1,1,34,4.44160E+000,3.27800E-006,614.17300E-003
1,1,35,4.46781E+000,3.38000E-006,631.83000E-003
1,1,36,4.49220E+000,3.48200E-006,649.48200E-003
1,1,37,4.51531E+000,3.58000E-006,667.09400E-003
1,1,38,4.53797E+000,3.67900E-006,684.73100E-003
1,1,39,4.56078E+000,3.78000E-006,702.41100E-003
1,1,40,4.58393E+000,3.88000E-006,721.60800E-003
1,1,41,4.60581E+000,3.98300E-006,739.23600E-003
1,1,42,4.62638E+000,4.08300E-006,756.88200E-003
1,1,43,4.64700E+000,4.18200E-006,774.53400E-003
1,1,44,4.66825E+000,4.28000E-006,792.14600E-003
1,1,45,4.68978E+000,4.38100E-006,809.79000E-003
1,1,46,4.71017E+000,4.48400E-006,827.44600E-003
1,1,47,4.72992E+000,4.58500E-006,845.75200E-003
1,1,48,4.74988E+000,4.68400E-006,863.38800E-003
1,1,49,4.77031E+000,4.78500E-006,881.03600E-003
1,1,50,4.78864E+000,4.88400E-006,900.15200E-003
1,1,51,4.80653E+000,4.98400E-006,917.78100E-003
1,1,52,4.82497E+000,5.08500E-006,935.41000E-003
