source,run_timestamp,ROI,n_spikes_all,n_spikes_in_stim,n_spikes_outside
blue1.csv,2025-09-08 11:55:46,ROI.01 [],4,3,1
blue1.csv,2025-09-08 11:55:46,ROI.02 [],4,3,1
blue1.csv,2025-09-08 11:55:46,ROI.03 [],4,3,1
blue1.csv,2025-09-08 11:55:46,ROI.04 [],4,3,1
blue1.csv,2025-09-08 11:55:46,ROI.05 [],4,3,1
blue1.csv,2025-09-08 11:55:46,ROI.06 [],4,3,1
blue1.csv,2025-09-08 11:55:46,ROI.07 [],4,3,1
blue1.csv,2025-09-08 11:55:46,ROI.08 [],4,3,1
blue2.csv,2025-09-08 11:56:06,ROI.01 [],4,3,1
blue2.csv,2025-09-08 11:56:06,ROI.02 [],4,3,1
blue2.csv,2025-09-08 11:56:06,ROI.03 [],4,3,1
blue2.csv,2025-09-08 11:56:06,ROI.04 [],4,3,1
blue2.csv,2025-09-08 11:56:06,ROI.05 [],4,3,1
blue2.csv,2025-09-08 11:56:06,ROI.06 [],4,3,1
blue2.csv,2025-09-08 11:56:06,ROI.07 [],4,3,1
blue2.csv,2025-09-08 11:56:06,ROI.08 [],4,3,1
blue3.csv,2025-09-08 11:56:24,ROI.01 [],4,3,1
blue3.csv,2025-09-08 11:56:24,ROI.02 [],4,3,1
blue3.csv,2025-09-08 11:56:24,ROI.03 [],4,3,1
blue3.csv,2025-09-08 11:56:24,ROI.04 [],4,3,1
blue3.csv,2025-09-08 11:56:24,ROI.05 [],5,3,2
blue3.csv,2025-09-08 11:56:24,ROI.06 [],4,3,1
blue3.csv,2025-09-08 11:56:24,ROI.07 [],4,3,1
blue3.csv,2025-09-08 11:56:24,ROI.08 [],4,3,1
blue3.csv,2025-10-13 00:25:13,ROI.01 [],3,3,0
blue3.csv,2025-10-13 00:25:13,ROI.02 [],4,3,1
blue3.csv,2025-10-13 00:25:13,ROI.03 [],3,3,0
blue3.csv,2025-10-13 00:25:13,ROI.04 [],3,3,0
blue3.csv,2025-10-13 00:25:13,ROI.05 [],4,4,0
blue3.csv,2025-10-13 00:25:13,ROI.06 [],4,3,1
blue3.csv,2025-10-13 00:25:13,ROI.07 [],3,3,0
blue3.csv,2025-10-13 00:25:13,ROI.08 [],3,3,0
